id,created_at,record_number,pdf_link,result_page,parent_page_num,num_pages
167,2025-03-19 00:44:24.659702+00,104-10101-10054,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10054.pdf,16,16,1
170,2025-03-19 00:44:25.819822+00,104-10101-10124,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10124.pdf,16,16,1
173,2025-03-19 00:44:29.346293+00,104-10101-10135,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10135.pdf,17,17,1
176,2025-03-19 00:44:30.541001+00,104-10101-10239,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10239.pdf,17,17,4
179,2025-03-19 00:44:31.719863+00,104-10101-10247,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10247.pdf,17,17,1
181,2025-03-19 00:44:32.930398+00,104-10102-10233,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10102-10233.pdf,17,17,4
184,2025-03-19 00:44:35.347052+00,104-10103-10079,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10103-10079.pdf,18,18,24
187,2025-03-19 00:44:36.61617+00,104-10103-10112,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10103-10112.pdf,18,18,17
190,2025-03-19 00:44:37.82312+00,104-10104-10271,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10104-10271.pdf,18,18,4
132,2025-03-19 00:44:05.823582+00,104-10097-10077,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10097-10077.pdf,13,13,1
135,2025-03-19 00:44:07.033092+00,104-10097-10170,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10097-10170.pdf,13,13,2
138,2025-03-19 00:44:08.170515+00,104-10098-10264,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10098-10264.pdf,13,13,1
143,2025-03-19 00:44:11.692049+00,104-10098-10401,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10098-10401.pdf,14,14,3
146,2025-03-19 00:44:12.863097+00,104-10100-10086,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10086.pdf,14,14,1
149,2025-03-19 00:44:14.055647+00,104-10100-10152,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10152.pdf,14,14,1
151,2025-03-19 00:44:15.227315+00,104-10100-10185,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10185.pdf,14,14,1
154,2025-03-19 00:44:17.568039+00,104-10100-10199,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10199.pdf,15,15,5
157,2025-03-19 00:44:18.938421+00,104-10100-10239,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10239.pdf,15,15,1
160,2025-03-19 00:44:20.138317+00,104-10100-10319,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10319.pdf,15,15,1
162,2025-03-19 00:44:23.448256+00,104-10100-10411,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10411.pdf,16,16,1
165,2025-03-19 00:44:24.640792+00,104-10100-10424,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10424.pdf,16,16,1
168,2025-03-19 00:44:25.80658+00,104-10101-10109,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10109.pdf,16,16,1
172,2025-03-19 00:44:29.343734+00,104-10101-10175,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10175.pdf,17,17,2
175,2025-03-19 00:44:30.53828+00,104-10101-10227,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10227.pdf,17,17,1
178,2025-03-19 00:44:31.716921+00,104-10101-10256,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10256.pdf,17,17,1
183,2025-03-19 00:44:35.328119+00,104-10102-10237,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10102-10237.pdf,18,18,12
186,2025-03-19 00:44:36.555106+00,104-10103-10103,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10103-10103.pdf,18,18,4
189,2025-03-19 00:44:37.763309+00,104-10104-10172,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10104-10172.pdf,18,18,2
191,2025-03-19 00:44:39.017482+00,104-10105-10271,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10105-10271.pdf,18,18,7
133,2025-03-19 00:44:05.828376+00,104-10097-10069,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10097-10069.pdf,13,13,1
136,2025-03-19 00:44:07.037121+00,104-10098-10072,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10098-10072.pdf,13,13,1
139,2025-03-19 00:44:08.186376+00,104-10098-10328,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10098-10328.pdf,13,13,1
141,2025-03-19 00:44:09.33932+00,104-10098-10391,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10098-10391.pdf,13,13,1
144,2025-03-19 00:44:11.701745+00,104-10098-10404,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10098-10404.pdf,14,14,3
147,2025-03-19 00:44:12.888067+00,104-10100-10087,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10087.pdf,14,14,1
150,2025-03-19 00:44:14.064821+00,104-10100-10157,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10157.pdf,14,14,1
152,2025-03-19 00:44:17.493595+00,104-10100-10200,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10200.pdf,15,15,1
155,2025-03-19 00:44:18.692723+00,104-10100-10223,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10223.pdf,15,15,3
158,2025-03-19 00:44:20.006909+00,104-10100-10247,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10247.pdf,15,15,1
163,2025-03-19 00:44:23.468516+00,104-10100-10396,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10396.pdf,16,16,1
166,2025-03-19 00:44:24.646278+00,104-10100-10419,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10419.pdf,16,16,1
169,2025-03-19 00:44:25.809505+00,104-10101-10129,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10129.pdf,16,16,1
171,2025-03-19 00:44:27.036891+00,104-10101-10134,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10134.pdf,16,16,3
174,2025-03-19 00:44:29.355132+00,104-10101-10198,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10198.pdf,17,17,2
177,2025-03-19 00:44:30.562124+00,104-10101-10215,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10101-10215.pdf,17,17,3
180,2025-03-19 00:44:31.823753+00,104-10102-10224,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10102-10224.pdf,17,17,24
182,2025-03-19 00:44:35.299605+00,104-10103-10038,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10103-10038.pdf,18,18,4
185,2025-03-19 00:44:36.53841+00,104-10104-10094,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10104-10094.pdf,18,18,2
188,2025-03-19 00:44:37.750548+00,104-10104-10262,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10104-10262.pdf,18,18,2
192,2025-03-19 00:44:41.346398+00,104-10105-10277,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10105-10277.pdf,19,19,3
193,2025-03-19 00:44:41.363736+00,104-10105-10290%20(C06932214),https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10105-10290%20(C06932214).pdf,19,19,8
194,2025-03-19 00:44:41.373376+00,104-10105-10290,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10105-10290.pdf,19,19,7
195,2025-03-19 00:44:42.575423+00,104-10106-10312,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10106-10312.pdf,19,19,3
196,2025-03-19 00:44:42.587958+00,104-10105-10293,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10105-10293.pdf,19,19,3
